array_sum: 0.010083 s (10000000.0)
array_sum: 0.009585 s (10000000.0)
sum: 0.004677 s (10000000.0)
py_sum: 1.384787 s (10000000.0)
         106794 function calls (103729 primitive calls) in 1.730 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    1.385    0.138    1.385    0.138 compute_sums.py:12(py_sum)
    30/28    0.129    0.004    0.138    0.005 {built-in method _imp.create_dynamic}
      131    0.058    0.000    0.058    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.020    0.020    1.730    1.730 compute_sums.py:1(<module>)
      131    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
      701    0.010    0.000    0.010    0.000 {built-in method posix.stat}
    30/20    0.009    0.000    0.020    0.001 {built-in method _imp.exec_dynamic}
      131    0.007    0.000    0.007    0.000 {built-in method io.open_code}
  311/305    0.006    0.000    0.012    0.000 {built-in method builtins.__build_class__}
       10    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      315    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     5363    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      172    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.001    0.001    0.004    0.004 scimath.py:1(<module>)
    12048    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     1602    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1602    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      131    0.001    0.000    0.085    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
    77/31    0.001    0.000    0.003    0.000 _parser.py:509(_parse)
      317    0.001    0.000    0.006    0.000 overrides.py:142(decorator)
    133/1    0.001    0.000    1.730    1.730 {built-in method builtins.exec}
      555    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      555    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
        2    0.001    0.001    0.001    0.001 numeric.py:136(ones)
    176/6    0.001    0.000    0.319    0.053 <frozen importlib._bootstrap>:1165(_find_and_load)
      162    0.001    0.000    0.005    0.000 typing.py:1353(__init__)
      341    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      262    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        1    0.001    0.001    0.002    0.002 getlimits.py:162(_register_known_types)
       16    0.001    0.000    0.700    0.044 __init__.py:1(<module>)
    176/6    0.001    0.000    0.318    0.053 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      555    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
  629/624    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x860f60}
     1289    0.001    0.000    0.002    0.000 typing.py:1297(__setattr__)
        1    0.001    0.001    0.001    0.001 {method 'dot' of 'numpy.ndarray' objects}
      170    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
     2313    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      163    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      165    0.001    0.000    0.001    0.000 typing.py:247(_collect_parameters)
